pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,9a8ef17e-28e3-46b8-b161-18449ec1686e,,done,1024,1024,525,0.0,420,212.38,,False
2,alice-2,bob-2,http://localhost:8013,c01c4e4d-3dd4-4dda-bc68-816820234189,,done,1024,1024,513,0.0,411,213.07,,False
3,alice-3,bob-3,http://localhost:8023,2eb248cf-787e-4a53-ba12-5c01c799a443,,done,1024,1024,505,0.0,404,212.834,,False
4,alice-4,bob-4,http://localhost:8033,034700a2-c1a5-421f-9e5f-32e588296ce3,,done,1024,1024,498,0.0,399,212.925,,False
5,alice-5,bob-5,http://localhost:8043,5958cc86-b2dc-4ff4-ac0c-701df4b8019f,,done,1024,1024,519,0.0,416,212.98,,False
6,alice-6,bob-6,http://localhost:8053,496cca57-8e64-4bf7-8d76-e27d537385a8,,done,1024,1024,507,0.0,406,212.92,,False
7,alice-7,bob-7,http://localhost:8063,00aa6db0-217b-440c-bc35-96a363ca331b,,done,1024,1024,493,0.0,395,212.895,,False
8,alice-8,bob-8,http://localhost:8073,d9344c1f-758f-407f-976c-a6f543d54c67,,done,1024,1024,520,0.0,416,212.995,,False
9,alice-9,bob-9,http://localhost:9003,ef8ff96a-694e-44b8-ac41-c52b32db4af6,,done,1024,1024,479,0.0,384,212.806,,False
10,alice-10,bob-10,http://localhost:9013,fac15e9c-f5fb-4aa7-9ced-480006fcda95,,done,1024,1024,520,0.0,416,212.704,,False
