pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,e8c81102-4f12-4306-984b-e97c1fc341fe,,done,1024,1024,479,0.0,384,211.608,,False
2,alice-2,bob-2,http://localhost:8013,8aa5ff58-511b-4a48-bd74-73594424f6b1,,done,1024,1024,524,0.0,420,212.25,,False
3,alice-3,bob-3,http://localhost:8023,be4318f3-8694-42df-8a4b-2d24b4336fec,,done,1024,1024,498,0.0,399,211.976,,False
4,alice-4,bob-4,http://localhost:8033,bb5e3476-0e80-4568-8895-81899c309bb8,,done,1024,1024,521,0.0,417,212.626,,False
5,alice-5,bob-5,http://localhost:8043,3b176a98-1429-4ac1-bcfa-ced5b8a4dfe1,,done,1024,1024,536,0.0,429,211.738,,False
6,alice-6,bob-6,http://localhost:8053,e7b11e6b-4d2f-4c46-b9ef-84b3487e5865,,done,1024,1024,521,0.0,417,212.153,,False
7,alice-7,bob-7,http://localhost:8063,dff20563-337e-40f3-b436-5724767008d1,,done,1024,1024,467,0.0,374,212.384,,False
8,alice-8,bob-8,http://localhost:8073,dcce6dbd-934f-44e6-a13b-4144f4d01e81,,done,1024,1024,513,0.0,411,212.773,,False
9,alice-9,bob-9,http://localhost:9003,a56f4208-ce68-4280-9e9f-9a8a57a0b0da,,done,1024,1024,515,0.0,412,213.162,,False
10,alice-10,bob-10,http://localhost:9013,74a2bc8c-1e45-4358-9513-9eb281c2b506,,done,1024,1024,486,0.0,389,212.972,,False
11,alice-11,bob-11,http://localhost:9023,a8752264-b271-4ab4-976d-1094f040636c,,done,1024,1024,478,0.0,383,213.062,,False
12,alice-12,bob-12,http://localhost:9033,9001afcc-51f3-4e5e-8183-74c17de1b023,,done,1024,1024,524,0.0,420,213.187,,False
13,alice-13,bob-13,http://localhost:9043,a4f81e72-00db-4525-8fb3-13ee05c05dbd,,done,1024,1024,508,0.0,407,212.622,,False
14,alice-14,bob-14,http://localhost:9053,acf4324e-d068-4bc8-a4ea-6ce480503676,,done,1024,1024,502,0.0,402,213.324,,False
15,alice-15,bob-15,http://localhost:9063,6087b235-08e3-43c6-9b2a-ee52c0695675,,done,1024,1024,520,0.0,416,212.586,,False
16,alice-16,bob-16,http://localhost:9073,e0dee93a-2f3d-483f-a2f2-9912710da9f2,,done,1024,1024,537,0.0,430,212.935,,False
