pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
7,alice-7,bob-7,http://localhost:8063,8b9e0c64-75b2-4007-b9c3-5d95085ecca8,,done,1024,1024,529,0.0,424,213.465,,False
8,alice-8,bob-8,http://localhost:8073,5d210795-fb99-43fb-b157-cb8b0d479be5,,done,1024,1024,528,0.0,423,213.242,,False
1,alice-1,bob-1,http://localhost:8003,d0230c1f-73ea-457c-b7b2-55640e14ada0,,done,1024,1024,538,0.0,431,215.439,,False
2,alice-2,bob-2,http://localhost:8013,6036d72f-3587-4adc-bfb1-a26cff41d0c1,,done,1024,1024,542,0.0,434,215.764,,False
3,alice-3,bob-3,http://localhost:8023,b780b505-a636-48b9-a3cd-fb90a5d4dbe1,,done,1024,1024,517,0.0,414,215.82,,False
4,alice-4,bob-4,http://localhost:8033,7d9a17c6-3501-43af-b717-539e1b4b2458,,done,1024,1024,503,0.0,403,215.917,,False
5,alice-5,bob-5,http://localhost:8043,4aa41f8b-aae6-45d0-b1cd-39e1cc1ca6e5,,done,1024,1024,512,0.0,410,215.683,,False
6,alice-6,bob-6,http://localhost:8053,e8f81d5c-8671-4ec6-aaa3-cbef29cca27f,,done,1024,1024,504,0.0,404,215.83,,False
9,alice-9,bob-9,http://localhost:9003,7800b17e-6590-4b75-87bf-f8e55358c22d,,done,1024,1024,516,0.0,413,215.693,,False
10,alice-10,bob-10,http://localhost:9013,7ee2370f-bb80-4380-a116-82a76287190a,,done,1024,1024,522,0.0,418,215.549,,False
11,alice-11,bob-11,http://localhost:9023,8b2125b4-be27-4a62-a42e-7eb49e9c063a,,done,1024,1024,496,0.0,397,215.408,,False
12,alice-12,bob-12,http://localhost:9033,6b8d85c9-61c2-46b9-b4e9-b095a5d81346,,done,1024,1024,498,0.0,399,215.507,,False
13,alice-13,bob-13,http://localhost:9043,42bffacd-2ea2-4ab1-b83f-4a8b36e34b2c,,done,1024,1024,533,0.0,427,215.253,,False
14,alice-14,bob-14,http://localhost:9053,b93a740a-2319-4392-b02d-b65f9359360f,,done,1024,1024,498,0.0,399,215.452,,False
