pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,8f122f26-bf97-4e70-b9f3-3de97016a2d0,,done,1024,1024,504,0.0,404,53.668,,False
2,alice-2,bob-2,http://localhost:8013,07450834-6921-4709-bf08-451395f575e6,,done,1024,1024,498,0.0,399,53.329,,False
3,alice-3,bob-3,http://localhost:8023,892b6e39-e973-4bed-925e-825f48e90e18,,done,1024,1024,517,0.0,414,54.141,,False
4,alice-4,bob-4,http://localhost:8033,d792d446-ba97-49d3-a964-ac0de7b4c7da,,done,1024,1024,487,0.0,390,54.18,,False
5,alice-5,bob-5,http://localhost:8043,2b8a04e9-29c2-4ae7-a7b5-3202b8f07f0e,,done,1024,1024,522,0.0,418,53.142,,False
6,alice-6,bob-6,http://localhost:8053,3cc9c68d-3d1e-4422-a2d0-7bde28d280a0,,done,1024,1024,523,0.0,419,54.44,,False
7,alice-7,bob-7,http://localhost:8063,541eeefb-5887-4e36-9ef8-3d977457a5a0,,done,1024,1024,490,0.0,392,53.804,,False
8,alice-8,bob-8,http://localhost:8073,b20ee1d7-2020-4106-a3b9-f270ec61dbf3,,done,1024,1024,500,0.0,400,53.167,,False
9,alice-9,bob-9,http://localhost:9003,a881debb-165f-4436-a055-34685595973d,,done,1024,1024,497,0.0,398,53.89,,False
10,alice-10,bob-10,http://localhost:9013,637089d0-99ba-40d7-8236-d41c7689d8bb,,done,1024,1024,519,0.0,416,54.187,,False
11,alice-11,bob-11,http://localhost:9023,e19259ef-bb91-46ab-9ef8-3e7fe5169ed4,,done,1024,1024,491,0.0,393,53.356,,False
12,alice-12,bob-12,http://localhost:9033,7a60e5aa-f2f9-4e4c-a555-03ce74eabbe9,,done,1024,1024,517,0.0,414,53.393,,False
13,alice-13,bob-13,http://localhost:9043,82500cdb-0a1c-432e-8ccb-bd7eff215936,,done,1024,1024,528,0.0,423,53.088,,False
14,alice-14,bob-14,http://localhost:9053,9a91c005-3121-4722-bf87-e536bd210678,,done,1024,1024,514,0.0,412,52.632,,False
