pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,b032166f-78c5-42d5-97c2-6733dbc7a305,,done,1024,1024,517,0.0,414,218.804,,False
2,alice-2,bob-2,http://localhost:8013,3e618046-e9b9-479f-8f1f-f6bde7b4027c,,done,1024,1024,523,0.0,419,218.883,,False
3,alice-3,bob-3,http://localhost:8023,e43e9a4f-b774-4bbb-990c-7cc902877a21,,done,1024,1024,515,0.0,412,218.968,,False
4,alice-4,bob-4,http://localhost:8033,5052e21d-f25b-41ab-9b28-99233cb3a051,,done,1024,1024,490,0.010204,392,219.109,,False
5,alice-5,bob-5,http://localhost:8043,c18878ab-fe44-4eb0-a7c5-80c8030a90a8,,done,1024,1024,525,0.0,420,218.544,,False
6,alice-6,bob-6,http://localhost:8053,5fd99569-c59a-4c29-ba1a-a11df60ea81e,,done,1024,1024,524,0.0,420,218.386,,False
7,alice-7,bob-7,http://localhost:8063,80e4419d-af02-4a58-a697-d52c2cae3df6,,done,1024,1024,500,0.0,400,218.547,,False
8,alice-8,bob-8,http://localhost:8073,49536a9b-36bb-415f-85ae-53e23682720e,,done,1024,1024,559,0.0,448,218.578,,False
9,alice-9,bob-9,http://localhost:9003,b4f1119c-9dc0-48ab-903e-4bac5b111d9d,,done,1024,1024,516,0.0,413,218.179,,False
10,alice-10,bob-10,http://localhost:9013,7772f64c-ddac-44c3-930d-8c9094f0d4eb,,done,1024,1024,492,0.0,394,219.079,,False
11,alice-11,bob-11,http://localhost:9023,8a915499-ce01-4d46-b5be-a6417ea695c8,,done,1024,1024,532,0.0,426,218.588,,False
12,alice-12,bob-12,http://localhost:9033,65d1962a-5d2a-4b28-b1f7-cabdc82fa2a7,,done,1024,1024,527,0.0,422,218.378,,False
13,alice-13,bob-13,http://localhost:9043,b8d2d41d-a5f5-4e9c-b9bb-0961e9623293,,done,1024,1024,520,0.0,416,218.179,,False
14,alice-14,bob-14,http://localhost:9053,5b92a67a-ad73-468c-baa9-2c06835a1132,,done,1024,1024,494,0.0,396,218.69,,False
15,alice-15,bob-15,http://localhost:9063,9e0231e1-5797-4a60-8c07-b1b69eac361b,,done,1024,1024,497,0.0,398,218.517,,False
16,alice-16,bob-16,http://localhost:9073,41245c92-c8e4-4b9a-a013-fa7d4556f993,,done,1024,1024,524,0.0,420,218.512,,False
17,alice-17,bob-17,http://localhost:9083,f414bcd1-cef7-4782-bdd8-1be0277aa30f,,done,1024,1024,518,0.0,415,218.966,,False
18,alice-18,bob-18,http://localhost:9093,2f521711-898a-4dda-a466-3005eb947363,,done,1024,1024,523,0.0,419,218.484,,False
