pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,9a45851d-f448-45ee-b86d-96307a2797a9,,done,1024,1024,516,0.0,413,57.025,,False
2,alice-2,bob-2,http://localhost:8013,a924f2d2-a894-4380-90c9-e4939a4b01fa,,done,1024,1024,495,0.0,396,56.586,,False
3,alice-3,bob-3,http://localhost:8023,65c5da96-45bf-411f-9f6d-8e840b244a2d,,done,1024,1024,503,0.0,403,57.259,,False
4,alice-4,bob-4,http://localhost:8033,3f8ecb23-52d8-4414-887e-9d2eab04806c,,done,1024,1024,516,0.0,413,57.498,,False
5,alice-5,bob-5,http://localhost:8043,a7be8b4f-7e87-461e-a98c-ed1a9db2b574,,done,1024,1024,499,0.0,400,56.31,,False
6,alice-6,bob-6,http://localhost:8053,63c2c579-9086-4019-8932-2b616483f13c,,done,1024,1024,514,0.0,412,56.144,,False
7,alice-7,bob-7,http://localhost:8063,09668110-05b9-4d81-97f4-2cb13abee742,,done,1024,1024,516,0.0,413,56.479,,False
8,alice-8,bob-8,http://localhost:8073,d311a9a6-fd08-4086-8990-127b3c3aeb4d,,done,1024,1024,500,0.0,400,57.143,,False
9,alice-9,bob-9,http://localhost:9003,6c6bdae0-e656-476c-a840-7a7f0e44446d,,done,1024,1024,501,0.0,401,56.087,,False
10,alice-10,bob-10,http://localhost:9013,829e3916-26a8-4a05-b46a-820f2294f647,,done,1024,1024,522,0.0,418,56.902,,False
11,alice-11,bob-11,http://localhost:9023,2bf12559-fd9b-4dcb-a0bd-b8620770ba8d,,done,1024,1024,527,0.0,422,56.612,,False
12,alice-12,bob-12,http://localhost:9033,d0cd8688-66ec-4be1-995f-0b6852dc5bf1,,done,1024,1024,496,0.0,397,55.451,,False
13,alice-13,bob-13,http://localhost:9043,992b5171-28c8-40f9-b726-7ca4324c4a8b,,done,1024,1024,488,0.0,391,55.229,,False
14,alice-14,bob-14,http://localhost:9053,62bd1225-76f9-4c4c-af6c-6f41b8b87252,,done,1024,1024,529,0.0,424,56.492,,False
15,alice-15,bob-15,http://localhost:9063,9a383ae7-3dde-4454-bcbe-3e537cdbda7b,,done,1024,1024,530,0.0,424,54.968,,False
16,alice-16,bob-16,http://localhost:9073,1219d95c-5963-49b8-97d0-10338c8ccbcb,,done,1024,1024,518,0.0,415,56.18,,False
