pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,c76a8004-d4c3-439e-bf2c-51a05427be21,,done,1024,1024,511,0.0,409,77.141,,False
2,alice-2,bob-2,http://localhost:8013,22c9ae07-d5c7-4631-b817-4b5e69391d64,,done,1024,1024,527,0.0,422,79.83,,False
3,alice-3,bob-3,http://localhost:8023,f0bf7c67-9306-468c-b3ea-9e83de2463ff,,done,1024,1024,507,0.0,406,78.421,,False
4,alice-4,bob-4,http://localhost:8033,fd0c172a-2152-4488-b6b5-9356951efd19,,done,1024,1024,522,0.0,418,78.903,,False
5,alice-5,bob-5,http://localhost:8043,f96dc7f7-7c45-4bac-8f62-20c17cc49d00,,done,1024,1024,512,0.0,410,78.196,,False
6,alice-6,bob-6,http://localhost:8053,5e9de07a-382a-4bb5-b872-f472255190d5,,done,1024,1024,499,0.0,400,78.456,,False
7,alice-7,bob-7,http://localhost:8063,b5047f10-ec55-4eff-ba9e-26105fcf3b32,,done,1024,1024,539,0.0,432,78.895,,False
8,alice-8,bob-8,http://localhost:8073,1f009d9c-b135-4feb-a5c3-3531b036e0f9,,done,1024,1024,494,0.0,396,78.245,,False
9,alice-9,bob-9,http://localhost:9003,dddbc98b-ed80-41cb-87c2-41cd1e84e186,,done,1024,1024,494,0.0,396,78.821,,False
10,alice-10,bob-10,http://localhost:9013,32735ace-ece3-4efb-b210-f0d376888217,,done,1024,1024,497,0.0,398,76.305,,False
11,alice-11,bob-11,http://localhost:9023,0b39fd92-b74c-46a7-b9cf-899a912c16f6,,done,1024,1024,528,0.0,423,78.138,,False
12,alice-12,bob-12,http://localhost:9033,0741b5d6-40e5-40a3-ad67-31443fbe6aac,,done,1024,1024,471,0.0,377,76.595,,False
13,alice-13,bob-13,http://localhost:9043,ee40992c-7084-452d-88d8-5674fcb06ee3,,done,1024,1024,540,0.0,432,76.895,,False
14,alice-14,bob-14,http://localhost:9053,7bb36c96-f311-400d-9746-bb9bedaed643,,done,1024,1024,507,0.0,406,77.484,,False
15,alice-15,bob-15,http://localhost:9063,da17a569-f651-4914-839e-f2119fc0c043,,done,1024,1024,484,0.0,388,78.065,,False
16,alice-16,bob-16,http://localhost:9073,7aae7af4-a04b-4f8c-abb5-1abc18a2fd25,,done,1024,1024,504,0.0,404,78.165,,False
17,alice-17,bob-17,http://localhost:9083,97fa6597-f485-4b14-9a1c-39410815f112,,done,1024,1024,526,0.0,421,78.775,,False
18,alice-18,bob-18,http://localhost:9093,261086d9-bdcf-4b49-8a53-58f4b9f91a8d,,done,1024,1024,546,0.0,437,77.466,,False
19,alice-19,bob-19,http://localhost:9103,1c1042ce-ba41-4199-88f5-c839756c64eb,,done,1024,1024,496,0.0,397,75.549,,False
