pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,b1f007ed-b611-4e3e-9af6-17d07523c8cd,,done,1024,1024,509,0.0,408,43.148,,False
2,alice-2,bob-2,http://localhost:8013,4561a773-1648-4805-b6b4-7d3a782e402c,,done,1024,1024,517,0.0,414,43.115,,False
3,alice-3,bob-3,http://localhost:8023,1a2eeea3-3170-49f8-b736-3e6ccfe857f4,,done,1024,1024,519,0.0,416,43.508,,False
4,alice-4,bob-4,http://localhost:8033,a47e6c80-60c9-4350-aa4a-f879c273a669,,done,1024,1024,527,0.0,422,43.555,,False
5,alice-5,bob-5,http://localhost:8043,f573070f-fa82-45b1-aa0c-fd1065a29ff9,,done,1024,1024,499,0.0,400,43.379,,False
6,alice-6,bob-6,http://localhost:8053,ff50d6dd-d798-4caa-adb4-8ee1e79e6f19,,done,1024,1024,505,0.0,404,43.453,,False
7,alice-7,bob-7,http://localhost:8063,a623fff3-a4bf-47f8-ad26-0edbd7b03275,,done,1024,1024,519,0.0,416,43.198,,False
8,alice-8,bob-8,http://localhost:8073,737d04a9-d287-4502-9e7b-9b382375ae18,,done,1024,1024,526,0.0,421,42.685,,False
9,alice-9,bob-9,http://localhost:9003,217ab60c-d652-435e-9ee5-cc58d2961d31,,done,1024,1024,486,0.0,389,42.809,,False
10,alice-10,bob-10,http://localhost:9013,56b423db-1993-4129-b113-4d80b3e5075c,,done,1024,1024,498,0.0,399,42.834,,False
