pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,3a44bf5b-8e33-47f5-8ebf-4fdae3a2ca28,,done,1024,1024,517,0.0,414,229.018,,False
3,alice-3,bob-3,http://localhost:8023,07a84c37-dee8-4e12-bc4b-de2ba30142f2,,done,1024,1024,505,0.0,404,229.679,,False
4,alice-4,bob-4,http://localhost:8033,f629c1bc-2908-4b96-b5d0-559a9ecd1692,,done,1024,1024,500,0.0,400,229.021,,False
5,alice-5,bob-5,http://localhost:8043,11155041-e53a-45c9-9689-030c0cfee593,,done,1024,1024,505,0.0,404,228.868,,False
6,alice-6,bob-6,http://localhost:8053,acbc8a84-b068-4155-87fe-adfcf30d5929,,done,1024,1024,508,0.0,407,229.05,,False
7,alice-7,bob-7,http://localhost:8063,f53516fd-5701-4202-8efc-f52e9e1e43e8,,done,1024,1024,549,0.0,440,227.029,,False
8,alice-8,bob-8,http://localhost:8073,7edcf02b-ce38-469b-bf64-0c6bef11f7f0,,done,1024,1024,504,0.0,404,228.559,,False
9,alice-9,bob-9,http://localhost:9003,4fe7a631-70fe-4eee-a79b-ea776b025403,,done,1024,1024,523,0.0,419,229.803,,False
10,alice-10,bob-10,http://localhost:9013,675829bf-7bdf-4d05-95e4-9f2ba70f7a73,,done,1024,1024,504,0.0,404,230.039,,False
12,alice-12,bob-12,http://localhost:9033,78cacd26-9af9-4df9-a8bb-3108eb9dd050,,done,1024,1024,512,0.0,410,227.271,,False
13,alice-13,bob-13,http://localhost:9043,971472eb-2855-4adc-a9a6-2ea02b4208a5,,done,1024,1024,508,0.009901,407,228.939,,False
15,alice-15,bob-15,http://localhost:9063,421899be-20d1-4ee1-9b5f-6425a35718c6,,done,1024,1024,525,0.0,420,228.359,,False
16,alice-16,bob-16,http://localhost:9073,e382f9e9-e4d6-4e8a-88ba-54a203bea22e,,done,1024,1024,529,0.0,424,227.945,,False
2,alice-2,bob-2,http://localhost:8013,e5a52c3a-68de-4318-9021-dc1c23842f72,,done,1024,1024,512,0.0,410,230.584,,False
11,alice-11,bob-11,http://localhost:9023,0c5867e8-8816-4271-b444-751788645286,,done,1024,1024,517,0.0,414,229.941,,False
14,alice-14,bob-14,http://localhost:9053,6e6aa6a8-b6df-4dc5-a025-6914c9ecb477,,done,1024,1024,516,0.0,413,230.778,,False
