pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,1425fa1c-42d3-41bf-b659-b20949cc978a,,done,1024,1024,544,0.0,436,46.341,,False
2,alice-2,bob-2,http://localhost:8013,c7186cca-a742-4b4d-92c3-10b2e4eaa798,,done,1024,1024,518,0.0,415,46.986,,False
3,alice-3,bob-3,http://localhost:8023,a4665827-8014-4ebb-87d5-810827ffbed1,,done,1024,1024,528,0.0,423,45.608,,False
4,alice-4,bob-4,http://localhost:8033,8f06d247-76d7-4fdc-a273-1d7a0f6c19bd,,done,1024,1024,500,0.0,400,45.274,,False
5,alice-5,bob-5,http://localhost:8043,5cb05636-be25-47a8-ae69-1f254bf51f5f,,done,1024,1024,497,0.0,398,46.142,,False
6,alice-6,bob-6,http://localhost:8053,6e1bdac2-018e-4148-8563-c46c43f9c9dc,,done,1024,1024,517,0.0,414,45.917,,False
7,alice-7,bob-7,http://localhost:8063,476615b0-b040-4360-b6e8-59bd4165d490,,done,1024,1024,510,0.0,408,46.267,,False
8,alice-8,bob-8,http://localhost:8073,e12e3611-846d-4285-8f75-05043b9e11dd,,done,1024,1024,526,0.0,421,45.754,,False
9,alice-9,bob-9,http://localhost:9003,7fa46a57-acd3-4f09-bb0f-20d6f3ebe83d,,done,1024,1024,539,0.0,432,46.211,,False
10,alice-10,bob-10,http://localhost:9013,a0632ba4-a6a7-4c0a-9c1f-2421439d0aaa,,done,1024,1024,481,0.0,385,46.229,,False
11,alice-11,bob-11,http://localhost:9023,4a856824-f240-4ba1-ab1c-62121044cbe3,,done,1024,1024,531,0.0,425,45.382,,False
12,alice-12,bob-12,http://localhost:9033,24cc1cff-bf3d-40e1-9e9f-0eb61c15900f,,done,1024,1024,525,0.0,420,45.916,,False
