pair,alice_label,bob_label,qkdl_url,session_id,start_error,status,n_qubits,n_delivered,n_sifted,qber,key_len,elapsed_s,error_message,intercepted
1,alice-1,bob-1,http://localhost:8003,8cfe7f45-1048-48ef-a845-d3c9da6ce050,,done,1024,1024,503,0.0,403,285.27,,False
2,alice-2,bob-2,http://localhost:8013,291971c3-bcf2-44ff-8931-9d69d918d5ef,,done,1024,1024,527,0.019048,422,281.548,,False
3,alice-3,bob-3,http://localhost:8023,4a927354-d29d-4e98-a68f-215584990512,,done,1024,1024,544,0.0,436,284.848,,False
5,alice-5,bob-5,http://localhost:8043,827a3a67-970b-4da4-a1fc-d4d45a4b7577,,done,1024,1024,545,0.0,436,284.944,,False
6,alice-6,bob-6,http://localhost:8053,cb66a421-6808-4e8e-8484-2f65597d6eea,,done,1024,1024,507,0.0,406,284.451,,False
8,alice-8,bob-8,http://localhost:8073,6aa2728b-78ff-4f8e-9c5d-c079fd37f527,,done,1024,1024,500,0.01,400,281.972,,False
11,alice-11,bob-11,http://localhost:9023,000ed297-97d4-4e6a-9b14-ca1d5e408adb,,done,1024,1024,497,0.0,398,282.26,,False
12,alice-12,bob-12,http://localhost:9033,6bab6e4f-7b9e-4e7d-9966-946e759f2b1f,,done,1024,1024,471,0.0,377,284.011,,False
14,alice-14,bob-14,http://localhost:9053,dd0f04f4-a1ed-4650-a469-39b1f20ae2b3,,done,1024,1024,535,0.0,428,280.209,,False
15,alice-15,bob-15,http://localhost:9063,3fea6fb4-444a-4dff-8696-b452a26953f4,,done,1024,1024,528,0.0,423,279.788,,False
16,alice-16,bob-16,http://localhost:9073,adbdafd2-428b-42f4-8f57-cee4945681c5,,done,1024,1024,507,0.0,406,283.113,,False
4,alice-4,bob-4,http://localhost:8033,c81378ac-a209-48c8-87ce-6358f7fb228f,,done,1024,1024,523,0.0,419,287.247,,False
7,alice-7,bob-7,http://localhost:8063,d8109e8b-4767-4a72-a27d-66f59505ddd8,,done,1024,1024,531,0.0,425,286.816,,False
9,alice-9,bob-9,http://localhost:9003,6bebc714-ce2c-4bd4-9f02-c9409188bf7e,,done,1024,1024,491,0.020408,393,286.856,,False
10,alice-10,bob-10,http://localhost:9013,c88d6ae8-08b3-46c5-aadf-a48f7c241b64,,done,1024,1024,519,0.0,416,285.938,,False
13,alice-13,bob-13,http://localhost:9043,0c61d022-031f-41d2-a5a5-4fe93fe5eb68,,done,1024,1024,510,0.0,408,285.737,,False
17,alice-17,bob-17,http://localhost:9083,26a9461c-31fc-4f31-97ae-6072da0bf9f3,,done,1024,1024,480,0.0,384,282.601,,False
18,alice-18,bob-18,http://localhost:9093,3e97baa8-668a-4cc1-929c-a0c848ae1352,,done,1024,1024,502,0.02,402,282.767,,False
19,alice-19,bob-19,http://localhost:9103,55009606-c7e1-4014-ace1-5631f6f57b7e,,done,1024,1024,508,0.009901,407,284.339,,False
